; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+2,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;0,018808777;;;;;;;;;;;;;;;;;;14:38:18;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+1,50%;;;;;0,063%;0,151%;0,252%;-0,053%;0,412%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;ß Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;∆ SEK 1D;;;∆ 1D;∆ 1D;DPS;DIV;∆ 1W;∆ MTD;∆ 1M;∆ 3M;∆ 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ABSO;;;SSE;LAST;4 494 424 296;7 537 782;1 013;0,80;0,2%;EE;397,00;20 000;7 940 000;0,18%;;;0,2%;0,00%;136 000;;;5,00;1,3%;1,80;36 000;-3%;-1%;-1%;-4%;10%;30;-0,7 ;;;;;0,00;0,00;0,12;0,07;0,0;;;;;;;;;;;
;ADMCM; ;;HSS;LAST;480 450 555;3 510 529;5 194;1,50;0,2%;WG;97,50;4 591;4 563 646;0,09%;;;0,1%;0,00%;70 210;;;1,50;1,6%;0,00;0;-6%;-6%;1%;-17%;-9%;41;-6,5 ;;;;;-0,02;-0,01;0,10;0,06;0,0;;;;;;;;;;;
;ADMCM; ;;HSS;LAST;480 450 555;0;5 194;1,50;0,2%;JK;97,50;4 135;4 110 363;0,08%;;;0,1%;0,00%;63 236;;;1,50;1,6%;0,00;0;-6%;-6%;1%;-17%;-9%;41;-6,5 ;;;;;-0,01;-0,01;0,09;0,05;0,0;;;;;;;;;;;
;ADMCM; ;;HSS;LAST;480 450 555;0;5 194;1,50;0,1%;EE;97,50;1 739;1 728 639;0,04%;;;0,1%;0,00%;26 594;;;1,50;1,6%;0,00;0;-6%;-6%;1%;-17%;-9%;41;-6,5 ;;;;;-0,01;0,00;0,04;0,02;0,0;;;;;;;;;;;
;AF B;;;SSE;LAST;29 620 759 904;6 121 428;200 577;0,80;0,6%;EE;272,20;83 066;22 610 565;0,08%;;;0,7%;0,00%;132 906;;;1,60;0,6%;0,00;0;-5%;-2%;3%;15%;24%;22;5,6 ;;;;;0,07;0,04;0,25;0,15;0,3;;;;;;;;;;;
;AF B;;;SSE;LAST;29 620 759 904;0;200 577;0,80;0,9%;MH;272,20;140 000;38 108 000;0,13%;;;1,2%;0,01%;224 000;;;1,60;0,6%;0,00;0;-5%;-2%;3%;15%;24%;22;5,6 ;;;;;0,11;0,07;0,43;0,26;0,6;;;;;;;;;;;
;AKEL D;;;SSE;LAST;352 880 000;11 804 253;484 999;1,30;0,8%;WG;1,60;1 206 828;19 735 574;0,55%;;;0,6%;0,01%;172 256;;;0,01;0,9%;0,00;0;2%;-1%;7%;7%;4%;14;4,6 ;;;;;0,05;0,03;0,14;0,09;0,0;;;;;;;;;;;
;AMBEA;;;SSE;LAST;6 609 067 021;108 965 827;184 764;0,80;0,6%;WG;69,85;370 000;25 844 500;0,39%;;;0,8%;-0,01%;-425 500;;;-1,15;-1,6%;0,00;0;-13%;-12%;-6%;-2%;30%;42;-2,4 ;;;;;-0,03;-0,02;0,56;0,33;0,1;;;;;;;;;;;
;AMBEA;;;SSE;LAST;6 609 067 021;0;184 764;0,80;1,4%;MH;69,85;800 000;55 880 000;0,85%;;;1,7%;-0,03%;-920 000;;;-1,15;-1,6%;0,00;0;-13%;-12%;-6%;-2%;30%;42;-2,4 ;;;;;-0,07;-0,04;1,21;0,72;0,2;;;;;;;;;;;
;AMBEA;;;SSE;LAST;6 609 067 021;0;184 764;0,80;0,7%;JK;69,85;394 762;27 574 126;0,42%;;;0,9%;-0,01%;-453 976;;;-1,15;-1,6%;0,00;0;-13%;-12%;-6%;-2%;30%;42;-2,4 ;;;;;-0,03;-0,02;0,60;0,36;0,1;;;;;;;;;;;
;AMBEA;;;SSE;LAST;6 609 067 021;0;184 764;0,80;0,3%;EE;69,85;180 000;12 573 000;0,19%;;;0,4%;-0,01%;-207 000;;;-1,15;-1,6%;0,00;0;-13%;-12%;-6%;-2%;30%;42;-2,4 ;;;;;-0,02;-0,01;0,27;0,16;0,0;;;;;;;;;;;
;ANOD B;;;SSE;LAST;9 515 983 686;19 933 173;36 554;1,30;1,2%;WG;291,50;104 935;30 588 553;0,32%;;;1,0%;-0,01%;-314 805;;;-3,00;-1,0%;0,00;0;1%;1%;10%;7%;25%;16;8,2 ;;;;;0,13;0,08;0,26;0,16;0,2;;;;;;;;;;;
;ARISE;;;SSE;LAST;1 964 974 617;16 755 892;116 159;1,30;0,9%;MH;51,10;444 063;22 691 619;1,15%;;;0,7%;-0,01%;-310 844;;;-0,70;-1,4%;0,00;0;-3%;-3%;1%;-1%;42%;48;5,2 ;;;;;0,06;0,04;0,57;0,34;0,0;;;;;;;;;;;
